Time,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
5,20.3371162414551,20.500846862793,20.3648071289063,20.4193840026855,20.4103546142578,15.8816757202148,16.3178901672363,13.4951410293579
10,20.3164501190186,20.4639282226563,20.3453426361084,20.3908920288086,20.3977127075195,15.8796691894531,16.3110675811768,13.4702596664429
15,20.3001976013184,20.4454689025879,20.3218669891357,20.3806571960449,20.387279510498,15.8955211639404,16.3144779205322,13.4630365371704
20,20.2686958312988,20.4282112121582,20.2991943359375,20.3680171966553,20.3682174682617,15.9675540924072,16.3431720733643,13.5242347717285
25,20.2514400482178,20.4131641387939,20.2823390960693,20.3465480804443,20.3335056304932,16.2159595489502,16.408784866333,13.6562623977661
30,20.2414073944092,20.3941020965576,20.2660865783691,20.3294925689697,20.3389225006104,16.5199451446533,16.4330635070801,13.6638879776001
35,20.2002735137939,20.369421005249,20.2347850799561,20.2979907989502,20.2981910705566,16.5056991577148,16.3989524841309,13.5200214385986
40,20.1715812683105,20.3485546112061,20.2151222229004,20.2705001831055,20.2801322937012,16.6684265136719,16.3524017333984,13.4050483703613
45,20.1511135101318,20.3174533843994,20.1663627624512,20.2476272583008,20.2482280731201,16.5670967102051,16.3309326171875,13.3815727233887
50,20.1157989501953,20.2775230407715,20.1505126953125,20.2050895690918,20.210506439209,16.5137252807617,16.3642406463623,13.5105905532837
55,20.1846218109131,20.4924201965332,20.1663627624512,20.2101058959961,20.2548503875732,16.4232311248779,16.3969459533691,13.5477113723755
60,20.5907382965088,20.9529132843018,20.2508373260498,20.3433361053467,20.4061412811279,16.4089851379395,16.4184150695801,13.5964689254761
65,21.0456123352051,21.3261222839355,20.4490795135498,20.5526161193848,20.6754131317139,16.4009590148926,16.4338665008545,13.6600751876831
70,21.4069843292236,21.7005367279053,20.7006950378418,20.8186779022217,20.9495010375977,16.3648414611816,16.4444999694824,13.7164583206177
75,21.3604335784912,22.0019130706787,21.0014705657959,21.0733032226563,21.4537353515625,16.3178901672363,16.4477100372314,13.714451789856
