Time,Voltage (CH1),Current (CH1),Voltage (CH2),Current (CH2)
5,0,0.00100000004749745,0,0
10,0,0.00100000004749745,0,0
15,0.00899999961256981,0.00100000004749745,0,0
20,0.00899999961256981,0.00100000004749745,0,0
25,0,0.00100000004749745,0,0.337000012397766
30,0,0.00100000004749745,0,0
35,0,0.00100000004749745,0.127000004053116,0
40,0,0.00100000004749745,0,0
45,0,0.00100000004749745,0,0
50,5.9980001449585,5.01399993896484,0,0
55,5.9980001449585,5.00899982452393,0,0
60,5.9980001449585,5.00699996948242,0,0
65,5.9980001449585,5.00500011444092,0,0
70,5.9980001449585,5.00500011444092,0,0
75,5.9980001449585,5.00500011444092,0,0
80,5.9980001449585,5.00500011444092,0,0
85,5.9980001449585,5.00500011444092,0,0
90,5.9980001449585,5.00299978256226,0,0
95,5.9980001449585,5.00299978256226,0,0
100,5.9980001449585,5.00299978256226,0,0
105,5.9980001449585,5.00299978256226,0,0
110,5.9980001449585,4.9980001449585,0,0
115,5.9980001449585,5,0,0
120,5.9980001449585,5,0,0
125,5.9980001449585,5,0,0
130,5.9980001449585,5,0,0
135,5.9980001449585,4.9980001449585,0,0
140,5.9980001449585,4.9980001449585,0,0
145,5.9980001449585,5,0,0
150,5.9980001449585,5,0,0
155,5.9980001449585,5,0,0
160,5.9980001449585,4.9980001449585,0,0
165,5.9980001449585,5,0,0
170,5.9980001449585,4.9980001449585,0,0
175,5.9980001449585,4.9980001449585,0,0
180,5.9980001449585,5,0,0
185,5.9980001449585,4.9980001449585,0,0
190,5.9980001449585,4.9980001449585,0,0
195,5.9980001449585,4.9980001449585,0,0
200,5.9980001449585,4.9980001449585,0,0
205,5.9980001449585,5,0,0
210,5.9980001449585,5,0,0
215,5.9980001449585,5,0,0
220,5.9980001449585,4.9980001449585,0,0
225,5.9980001449585,4.9980001449585,0,0
230,5.9980001449585,4.9980001449585,0,0
235,5.9980001449585,4.9980001449585,0,0
240,5.9980001449585,4.9980001449585,0,0
245,5.9980001449585,4.9980001449585,0,0
250,5.9980001449585,4.9980001449585,0,0
255,5.9980001449585,4.9980001449585,0,0
260,5.9980001449585,5.00099992752075,0,0
265,5.9980001449585,5.00099992752075,0,0
270,5.9980001449585,5.00099992752075,0,0
275,5.9980001449585,5.00099992752075,0,0
280,5.9980001449585,5.00099992752075,0,0
285,5.9980001449585,5.00099992752075,0,0
290,5.9980001449585,5.00099992752075,0,0
295,5.9980001449585,5.00099992752075,0,0
300,5.9980001449585,5.00099992752075,0,0
305,5.9980001449585,5,0,0
310,5.9980001449585,5,0,0
315,5.9980001449585,5,0,0
320,5.9980001449585,5,0,0
325,5.9980001449585,5,0,0
330,5.9980001449585,5,0,0
335,5.9980001449585,5,0,0
340,5.9980001449585,5,0,0
345,5.9980001449585,5.00299978256226,0,0
350,5.9980001449585,5.00299978256226,0,0
355,5.9980001449585,5.00299978256226,0,0
360,5.9980001449585,5.00299978256226,0,0
365,5.9980001449585,5.00299978256226,0,0
370,5.9980001449585,5.00299978256226,0,0
375,5.9980001449585,5.00299978256226,0,0
380,5.9980001449585,5.00299978256226,0,0
385,5.9980001449585,5.00299978256226,0,0
390,5.9980001449585,5.00299978256226,0,0
395,5.9980001449585,5.00299978256226,0,0
400,5.9980001449585,5.00299978256226,0,0
405,5.9980001449585,5.00299978256226,0,0
410,5.9980001449585,5.00299978256226,0,0
415,5.9980001449585,5.00299978256226,0,0
420,5.9980001449585,5.00299978256226,0,0
425,5.9980001449585,5.00299978256226,0,0
430,5.9980001449585,5.00299978256226,0,0
435,5.9980001449585,5.00299978256226,0,0
440,5.9980001449585,5.00299978256226,0,0
445,5.9980001449585,5.00299978256226,0,0
450,5.9980001449585,5.00299978256226,0,0
455,5.9980001449585,5.00299978256226,0,0
460,5.9980001449585,5.00299978256226,0,0
465,5.9980001449585,5.00299978256226,0,0
470,5.9980001449585,5.00299978256226,0,0
475,5.9980001449585,5.00299978256226,0,0
480,5.9980001449585,5.00299978256226,0,0
485,5.9980001449585,5.00299978256226,0,0
490,5.9980001449585,5.00299978256226,0,0
495,5.9980001449585,5.00299978256226,0,0
500,5.9980001449585,5.00299978256226,0,0
505,5.9980001449585,5.00299978256226,0,0
510,5.9980001449585,5.00299978256226,0,0
515,5.9980001449585,5.00299978256226,0,0
520,5.9980001449585,5.00299978256226,0,0
525,5.9980001449585,5.00299978256226,0,0
530,5.9980001449585,5.00299978256226,0,0
535,5.9980001449585,5.00299978256226,0,0
540,5.9980001449585,5.00099992752075,0,0
545,5.9980001449585,5.00299978256226,0,0
550,5.9980001449585,5.00099992752075,0,0
555,5.9980001449585,5.00099992752075,0,0
560,5.9980001449585,5.00299978256226,0,0
565,5.9980001449585,5.00099992752075,0,0
570,5.9980001449585,5.00299978256226,0,0
575,5.9980001449585,5.00299978256226,0,0
580,5.9980001449585,5.00299978256226,0,0
585,5.9980001449585,5.00299978256226,0,0
590,5.9980001449585,5.00299978256226,0,0
595,5.9980001449585,5.00299978256226,0,0
600,5.9980001449585,5.00299978256226,0,0
605,5.9980001449585,5.00299978256226,0,0
610,5.9980001449585,5.00099992752075,0,0
615,5.9980001449585,5.00099992752075,0,0
620,5.9980001449585,5.00299978256226,0,0
625,5.9980001449585,5.00099992752075,0,0
630,5.9980001449585,5.00099992752075,0,0
635,5.9980001449585,5.00299978256226,0,0
640,5.9980001449585,5.00299978256226,0,0
645,5.9980001449585,5.00099992752075,0,0
650,5.9980001449585,5.00099992752075,0,0
655,5.9980001449585,5.00099992752075,0,0
660,5.9980001449585,5.00099992752075,0,0
665,5.9980001449585,5.00099992752075,0,0
670,5.9980001449585,5.00099992752075,0,0
675,5.9980001449585,5.00099992752075,0,0
680,5.9980001449585,5.00099992752075,0,0
685,5.9980001449585,5.00099992752075,0,0
690,5.9980001449585,5.00099992752075,0,0
695,5.9980001449585,5.00099992752075,0,0
700,5.9980001449585,5.00099992752075,12.0030002593994,0.342000007629395
705,5.9980001449585,5.00099992752075,11.9849996566772,0.330000013113022
710,5.9980001449585,5.00099992752075,11.9940004348755,0.324000000953674
715,5.9980001449585,5.00099992752075,11.9940004348755,0.328000009059906
720,5.9980001449585,5.00099992752075,11.9940004348755,0.324000000953674
725,5.9980001449585,5.00099992752075,11.9940004348755,0.310000002384186
730,5.9980001449585,5.00099992752075,11.9940004348755,0.30799999833107
735,5.9980001449585,5.00099992752075,11.9940004348755,0.30799999833107
740,5.9980001449585,5,11.9849996566772,0.310999989509583
745,5.9980001449585,5.00099992752075,11.9940004348755,0.30799999833107
750,5.9980001449585,5.00299978256226,11.9940004348755,0.305999994277954
755,5.9980001449585,5.00299978256226,11.9940004348755,0.319000005722046
760,5.9980001449585,5.00500011444092,11.9940004348755,0.319000005722046
765,5.9980001449585,5.00500011444092,11.9940004348755,0.303999990224838
770,5.9980001449585,5.00500011444092,11.9940004348755,0.30799999833107
775,5.9980001449585,5.00500011444092,12.0030002593994,0.310999989509583
780,5.9980001449585,5.00500011444092,11.9940004348755,0.303999990224838
785,5.9980001449585,5.00500011444092,11.9940004348755,0.310999989509583
790,5.9980001449585,5.00500011444092,12.0120000839233,0.305999994277954
795,5.9980001449585,5.00500011444092,11.9940004348755,0.30799999833107
800,5.9980001449585,5.00500011444092,11.9940004348755,0.30799999833107
805,5.9980001449585,5.00500011444092,11.9940004348755,0.305999994277954
810,5.9980001449585,5.00500011444092,11.9940004348755,0.301999986171722
815,5.9980001449585,5.00500011444092,11.9940004348755,0.29899999499321
820,5.9980001449585,5.00500011444092,11.9940004348755,0.300000011920929
825,5.9980001449585,5.00500011444092,11.9940004348755,0.296999990940094
830,5.9980001449585,5.00500011444092,11.9940004348755,0.29899999499321
835,5.9980001449585,5.00500011444092,12.0030002593994,0.305999994277954
840,5.9980001449585,5.00500011444092,11.9940004348755,0.30799999833107
845,5.9980001449585,5.00500011444092,12.0120000839233,0.303999990224838
850,5.9980001449585,5.00500011444092,11.9940004348755,0.296999990940094
855,5.9980001449585,5.00500011444092,11.9940004348755,0.310000002384186
860,5.9980001449585,5.00500011444092,11.9940004348755,0.301999986171722
865,5.9980001449585,5.00299978256226,11.9940004348755,0.294999986886978
870,5.9980001449585,5.00299978256226,11.9940004348755,0.296999990940094
875,5.9980001449585,5.00500011444092,11.9940004348755,0.296999990940094
880,5.9980001449585,5.00500011444092,12.0030002593994,0.310000002384186
885,5.9980001449585,5.00500011444092,11.9940004348755,0.300000011920929
890,5.9980001449585,5.00500011444092,11.9940004348755,0.296999990940094
895,5.9980001449585,5.00299978256226,11.9940004348755,0.29899999499321
900,5.9980001449585,5.00500011444092,11.9940004348755,0.300000011920929
905,5.9980001449585,5.00299978256226,11.9940004348755,0.296999990940094
910,5.9980001449585,5.00500011444092,11.9940004348755,0.300000011920929
915,5.9980001449585,5.00500011444092,11.9940004348755,0.301999986171722
920,5.9980001449585,5.00299978256226,11.9940004348755,0.301999986171722
925,5.9980001449585,5.00299978256226,11.9849996566772,0.30799999833107
930,5.9980001449585,5.00299978256226,11.9940004348755,0.294999986886978
935,5.9980001449585,5.00500011444092,11.9940004348755,0.305999994277954
940,5.9980001449585,5.00500011444092,11.9940004348755,0.300000011920929
945,5.9980001449585,5.00500011444092,11.9940004348755,0.303999990224838
950,5.9980001449585,5.00500011444092,11.9940004348755,0.310000002384186
955,5.9980001449585,5.00500011444092,11.9940004348755,0.30799999833107
960,4.99599981307983,4.1729998588562,11.9940004348755,0.294999986886978
965,4.99599981307983,4.17500019073486,11.9849996566772,0.305999994277954
970,4.99599981307983,4.17700004577637,12.0030002593994,0.310000002384186
975,4.99599981307983,4.17700004577637,12.0030002593994,0.310000002384186
980,4.99599981307983,4.17700004577637,11.9940004348755,0.29899999499321
985,4.99599981307983,4.17700004577637,11.9940004348755,0.305999994277954
990,4.99599981307983,4.17700004577637,11.9940004348755,0.310999989509583
995,4.99599981307983,4.17700004577637,11.9940004348755,0.310999989509583
1000,4.99599981307983,4.17899990081787,11.9759998321533,0.310000002384186
1005,4.99599981307983,4.17899990081787,11.9940004348755,0.303999990224838
1010,4.99599981307983,4.17899990081787,11.9940004348755,0.300000011920929
1015,4.99599981307983,4.17899990081787,11.9849996566772,0.305999994277954
1020,4.99599981307983,4.17899990081787,11.9849996566772,0.305999994277954
1025,4.99599981307983,4.17899990081787,11.9940004348755,0.310999989509583
1030,4.99599981307983,4.17899990081787,11.9849996566772,0.30799999833107
1035,4.99599981307983,4.17899990081787,11.9940004348755,0.310000002384186
1040,4.99599981307983,4.17899990081787,11.9940004348755,0.312999993562698
1045,4.99599981307983,4.17899990081787,11.9940004348755,0.310000002384186
1050,4.99599981307983,4.17899990081787,11.9940004348755,0.310000002384186
1055,4.99599981307983,4.17899990081787,11.9940004348755,0.310999989509583
1060,4.99599981307983,4.17899990081787,11.9849996566772,0.310000002384186
1065,4.99599981307983,4.17899990081787,11.9940004348755,0.300000011920929
1070,4.99599981307983,4.17899990081787,11.9940004348755,0.300000011920929
1075,4.99599981307983,4.17899990081787,11.9940004348755,0.310000002384186
1080,4.99599981307983,4.17899990081787,11.9940004348755,0.301999986171722
1085,4.99599981307983,4.17899990081787,12.0030002593994,0.30799999833107
1090,4.99599981307983,4.17999982833862,11.9940004348755,0.301999986171722
1095,4.99599981307983,4.17999982833862,12.0030002593994,0.30799999833107
1100,4.99599981307983,4.17999982833862,12.0030002593994,0.310000002384186
1105,4.99599981307983,4.17999982833862,12.0120000839233,0.305999994277954
1110,4.99599981307983,4.17999982833862,11.9940004348755,0.300000011920929
1115,4.99599981307983,4.17999982833862,11.9849996566772,0.303999990224838
1120,4.99599981307983,4.17999982833862,11.9940004348755,0.300000011920929
1125,4.99599981307983,4.17999982833862,11.9940004348755,0.303999990224838
1130,4.99599981307983,4.17999982833862,11.9940004348755,0.310999989509583
1135,4.99599981307983,4.17999982833862,11.9940004348755,0.300000011920929
1140,4.99599981307983,4.17999982833862,11.9940004348755,0.300000011920929
1145,4.99599981307983,4.17999982833862,11.9940004348755,0.312999993562698
