Time,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
5,96.005973815918,95.9104690551758,95.7385101318359,96.0774078369141,95.8767547607422,36.5382270812988,16.9730129241943,24.5044231414795
10,96.0304565429688,95.930534362793,95.7750244140625,96.1000823974609,95.9102630615234,36.5181617736816,17.0402317047119,24.4494457244873
15,96.0711898803711,95.9620361328125,95.8089370727539,96.128776550293,95.929931640625,36.317310333252,17.2922477722168,24.4516525268555
20,96.1042938232422,95.9969482421875,95.8430480957031,96.1689071655273,95.9578170776367,36.3213233947754,17.3773231506348,24.4859638214111
25,96.1434173583984,96.0360717773438,95.8815689086914,96.2110366821289,96.0017623901367,36.4370994567871,17.4066181182861,24.4494457244873
30,96.1837539672852,96.0727920532227,95.9020385742188,96.2337112426758,96.0529251098633,36.544849395752,17.4192600250244,24.4113216400146
35,96.20361328125,96.0892486572266,95.941764831543,96.2804641723633,96.0746002197266,36.5197677612305,17.3430118560791,24.3984813690186
40,96.2347183227539,96.1380004882813,95.9843063354492,96.316780090332,96.1149291992188,36.4274673461914,17.3177299499512,24.3946685791016
45,96.2999267578125,96.1628875732422,96.014404296875,96.3525009155273,96.1528549194336,36.346607208252,17.2198123931885,24.3802223205566
50,96.3227996826172,96.1923828125,96.0651702880859,96.3811950683594,96.2012100219727,36.2683525085449,17.258939743042,24.3302593231201
55,96.3535003662109,96.2519760131836,96.0954666137695,96.4197158813477,96.2290954589844,36.0915794372559,17.4238739013672,24.342098236084
60,96.4187164306641,96.2882919311523,96.1602783203125,96.4664688110352,96.290901184082,35.8939399719238,17.765983581543,24.3605575561523
65,96.46044921875,96.3260116577148,96.1975936889648,96.5258636474609,96.3402557373047,35.7695350646973,18.0035533905029,24.4097175598145
70,96.5146255493164,96.4042663574219,96.2487640380859,96.5856552124023,96.3926315307617,35.8441772460938,17.9489765167236,24.4536590576172
75,96.5625762939453,96.4510192871094,96.3013305664063,96.6352157592773,96.4257354736328,35.7727470397949,17.8986129760742,24.4775371551514
80,96.6255874633789,96.5009765625,96.3512954711914,96.6809616088867,96.4963684082031,35.7440528869629,18.116720199585,24.4923858642578
